2019-05-30 17:37:28.177125: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2019-05-30 17:37:28.204130: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 3000000000 Hz
2019-05-30 17:37:28.204333: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x55ec1336d430 executing computations on platform Host. Devices:
2019-05-30 17:37:28.204348: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
WARNING:tensorflow:From /home/ckg/cartpole_impala/impala.py:37: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /home/ckg/cartpole_impala/core.py:15: dense (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.dense instead.
WARNING:tensorflow:From /home/ckg/anaconda3/envs/tensorflow-cpu/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From /home/ckg/anaconda3/envs/tensorflow-cpu/lib/python3.6/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
thread_2 0 12.0 0.5078705151875814
thread_3 0 19.0 0.5062672088020727
thread_1 0 19.0 0.5075085006262127
thread_0 0 23.0 0.5052404714667279
thread_3 1 12.0 0.5084207554658254
thread_1 1 15.0 0.5109040379524231
thread_2 1 19.0 0.5052324753058585
thread_0 1 18.0 0.5056809418731265
thread_0 2 10.0 0.5083464026451111
thread_2 2 16.0 0.507048960775137
thread_3 2 22.0 0.5056436305696314
thread_0 3 14.0 0.5046665242740086
thread_0 4 17.0 0.5079959806273965
thread_1 2 44.0 0.503057674928145
thread_3 3 20.0 0.5058373719453811
thread_2 3 27.0 0.5055204232533773
thread_0 5 17.0 0.5072425673989689
thread_3 4 17.0 0.5149117988698623
thread_2 4 16.0 0.5057379119098186
thread_2 5 10.0 0.5057500064373016
thread_0 6 13.0 0.5070044306608347
thread_1 3 28.0 0.5097318802561078
thread_0 7 11.0 0.5035124475305731
thread_3 5 17.0 0.5035847916322596
thread_1 4 21.0 0.5074846063341413
thread_3 6 23.0 0.5012885928153992
thread_0 8 14.0 0.5157774857112339
thread_1 5 17.0 0.5018533328000236
thread_3 7 12.0 0.5158512641986212
thread_0 9 29.0 0.5039558965584328
thread_1 6 11.0 0.5143903981555592
thread_2 6 45.0 0.507805073261261
thread_2 7 14.0 0.5058292959417615
thread_0 10 15.0 0.505008323987325
thread_3 8 29.0 0.5098635965380175
thread_2 8 13.0 0.5152511229881873
thread_3 9 12.0 0.5199690262476603
thread_1 7 33.0 0.5087358120715979
thread_2 9 11.0 0.522855671969327
thread_0 11 27.0 0.50720375334775
thread_0 12 10.0 0.5113253355026245
thread_1 8 21.0 0.5093028800828117
thread_2 10 24.0 0.5057056546211243
thread_0 13 15.0 0.5102986057599386
thread_1 9 17.0 0.5182085037231445
thread_2 11 19.0 0.520990324647803
thread_0 14 16.0 0.5093544758856297
thread_0 15 10.0 0.5096331715583802
thread_3 10 69.0 0.5106369991233384
thread_3 11 9.0 0.5312812725702921
thread_0 16 23.0 0.514427970285001
thread_1 10 49.0 0.5059201778197775
thread_2 12 51.0 0.5097773554278355
thread_3 12 24.0 0.513430044054985
thread_0 17 13.0 0.5162937182646531
thread_1 11 19.0 0.5167039915135032
thread_0 18 14.0 0.5234693288803101
thread_0 19 12.0 0.5255344808101654
thread_3 13 20.0 0.526593554019928
thread_2 13 19.0 0.5201673695915624
thread_0 20 14.0 0.529108213526862
thread_2 14 18.0 0.5236155357625749
thread_0 21 18.0 0.5270308388604058
thread_3 14 22.0 0.5232216580347582
thread_2 15 13.0 0.528200612618373
thread_1 12 50.0 0.5221179330348968
thread_3 15 26.0 0.5209010312190423
thread_0 22 23.0 0.5225511167360388
thread_3 16 16.0 0.5219629630446434
thread_1 13 25.0 0.5259247469902039
thread_0 23 29.0 0.5266460139175941
thread_3 17 29.0 0.5262416806714288
thread_1 14 31.0 0.5240721356484198
thread_3 18 17.0 0.5366029003087212
thread_0 24 25.0 0.5199681138992309
thread_2 16 74.0 0.5234990031332583
thread_0 25 14.0 0.5416599767548698
thread_3 19 21.0 0.5189402018274579
